State,Grade,Dimension,Master_ItemID,State_ItemID,In_2019,In_2018,value_2019flexmirt,value_2019matlab,value_2019matlab_State1,value_2019matlab_State4,value_2019airt,value_2018flexmirt,value_2018matlab,value_2018flexmirt_2019scale,value_2018matlab_2019scale,value_final,Statistics
State5,ES,100180_26,100180_26,42069,1,NA,5.0498288,5.0498,NA,NA,5.0498288,NA,NA,NA,NA,5.0498288,Cluster variance
State8,ES,100180_26,100180_26,21983,NA,1,NA,NA,NA,NA,NA,3.7648156,5,3.7648156,5,NA,Cluster variance
State_6_and_7,ES,100180_260,100180_260,260,1,NA,2.0771881,2.0772,NA,NA,2.077188139,NA,NA,NA,NA,2.0771881,Cluster variance
State_6_and_7,ES,100180_312,100180_312,312,1,NA,1.3890081,1.389,NA,NA,1.389008141,NA,NA,NA,NA,1.3890081,Cluster variance
State_6_and_7,ES,100180_315,100180_315,315,1,NA,0.599227,0.59923,NA,NA,0.599227004,NA,NA,NA,NA,0.599227,Cluster variance
State_6_and_7,ES,100180_316,100180_316,316,1,NA,0.9844184,0.98442,NA,NA,0.984418426,NA,NA,NA,NA,0.9844184,Cluster variance
State8,ES,100180_316,100180_316,23795,1,NA,0.9844184,0.98442,NA,NA,0.984418426,NA,NA,NA,NA,0.9844184,Cluster variance
State0,ES,10104_41765,10104_41765,17751,1,NA,0.1661284,0.16613,NA,NA,0.1661284,NA,NA,NA,NA,0.1661284,Cluster variance
State1,ES,10104_41765,10104_41765,4346,1,1,0.1661284,0.16613,0.17858,NA,0.1661284,0.1607503,0.16084,0.1607503,0.16084,0.1661284,Cluster variance
State_6_and_7,ES,10104_41765,10104_41765,139,1,1,0.1661284,0.16613,NA,NA,0.1661284,0.1607503,0.16084,0.1607503,0.16084,0.1661284,Cluster variance
State5,ES,10104_41765,10104_41765,41765,1,1,0.1661284,0.16613,NA,NA,0.1661284,0.1607503,0.16084,0.1607503,0.16084,0.1661284,Cluster variance
State8,ES,10104_41765,10104_41765,23521,1,NA,0.1661284,0.16613,NA,NA,0.1661284,NA,NA,NA,NA,0.1661284,Cluster variance
State1,ES,10104_41766,10104_41766,4368,NA,1,NA,NA,NA,NA,NA,0.4192712,0.41919,0.4192712,0.41919,NA,Cluster variance
State_6_and_7,ES,10104_41766,10104_41766,378,1,NA,0.4044957,0.4045,NA,NA,0.4044957,NA,NA,NA,NA,0.4044957,Cluster variance
State5,ES,10104_41766,10104_41766,41766,1,1,0.4044957,0.4045,NA,NA,0.4044957,0.4192712,0.41919,0.4192712,0.41919,0.4044957,Cluster variance
State8,ES,10104_41766,10104_41766,23534,1,NA,0.4044957,0.4045,NA,NA,0.4044957,NA,NA,NA,NA,0.4044957,Cluster variance
State5,ES,10104_41767,10104_41767,41767,1,NA,0.2965869,0.29659,NA,NA,0.296586947,NA,NA,NA,NA,0.2965869,Cluster variance
State1,ES,10104_41768,10104_41768,4345,1,1,1.3292984,1.3293,1.382,NA,1.3292984,1.5969227,1.6005,1.5969227,1.6005,1.3292984,Cluster variance
State_6_and_7,ES,10104_41768,10104_41768,136,1,1,1.3292984,1.3293,NA,NA,1.3292984,1.5969227,1.6005,1.5969227,1.6005,1.3292984,Cluster variance
State5,ES,10104_41768,10104_41768,41768,1,1,1.3292984,1.3293,NA,NA,1.3292984,1.5969227,1.6005,1.5969227,1.6005,1.3292984,Cluster variance
State8,ES,10104_41768,10104_41768,23517,1,NA,1.3292984,1.3293,NA,NA,1.3292984,NA,NA,NA,NA,1.3292984,Cluster variance
State1,ES,10104_41769,10104_41769,4366,1,1,0.5920506,0.59205,0.76499,NA,0.5920506,0.7219874,0.72273,0.7219874,0.72273,0.5920506,Cluster variance
State_6_and_7,ES,10104_41769,10104_41769,141,1,1,0.5920506,0.59205,NA,NA,0.5920506,0.7219874,0.72273,0.7219874,0.72273,0.5920506,Cluster variance
State5,ES,10104_41769,10104_41769,41769,1,1,0.5920506,0.59205,NA,NA,0.5920506,0.7219874,0.72273,0.7219874,0.72273,0.5920506,Cluster variance
State8,ES,10104_41769,10104_41769,23533,1,NA,0.5920506,0.59205,NA,NA,0.5920506,NA,NA,NA,NA,0.5920506,Cluster variance
State1,ES,10104_41770,10104_41770,4381,1,1,0.2276713,0.22767,0.19892,NA,0.2276713,0.4294416,0.42948,0.4294416,0.42948,0.2276713,Cluster variance
State_6_and_7,ES,10104_41770,10104_41770,142,1,1,0.2276713,0.22767,NA,NA,0.2276713,0.4294416,0.42948,0.4294416,0.42948,0.2276713,Cluster variance
State5,ES,10104_41770,10104_41770,41770,1,1,0.2276713,0.22767,NA,NA,0.2276713,0.4294416,0.42948,0.4294416,0.42948,0.2276713,Cluster variance
State8,ES,10104_41770,10104_41770,23540,1,NA,0.2276713,0.22767,NA,NA,0.2276713,NA,NA,NA,NA,0.2276713,Cluster variance
State1,ES,10104_41771,10104_41771,4353,1,1,1.4300163,1.43,1.4122,NA,1.4300163,1.6917035,1.6978,1.6917035,1.6978,1.4300163,Cluster variance
State_6_and_7,ES,10104_41771,10104_41771,379,1,NA,1.4300163,1.43,NA,NA,1.4300163,NA,NA,NA,NA,1.4300163,Cluster variance
State5,ES,10104_41771,10104_41771,41771,1,1,1.4300163,1.43,NA,NA,1.4300163,1.6917035,1.6978,1.6917035,1.6978,1.4300163,Cluster variance
State8,ES,10104_41771,10104_41771,23527,1,NA,1.4300163,1.43,NA,NA,1.4300163,NA,NA,NA,NA,1.4300163,Cluster variance
State1,ES,10104_41772,10104_41772,4359,1,1,3.228258,3.2283,3.1655,NA,3.228258,2.864378,3.8991,2.864378,3.8991,3.228258,Cluster variance
State_6_and_7,ES,10104_41772,10104_41772,143,1,1,3.228258,3.2283,NA,NA,3.228258,2.864378,3.8991,2.864378,3.8991,3.228258,Cluster variance
State5,ES,10104_41772,10104_41772,41772,1,1,3.228258,3.2283,NA,NA,3.228258,2.864378,3.8991,2.864378,3.8991,3.228258,Cluster variance
State8,ES,10104_41772,10104_41772,23530,1,NA,3.228258,3.2283,NA,NA,3.228258,NA,NA,NA,NA,3.228258,Cluster variance
State1,ES,10104_41773,10104_41773,4370,1,1,0.5168707,0.51687,0.55248,NA,0.5168707,0.5936342,0.59369,0.5936342,0.59369,0.5168707,Cluster variance
State_6_and_7,ES,10104_41773,10104_41773,144,1,1,0.5168707,0.51687,NA,NA,0.5168707,0.5936342,0.59369,0.5936342,0.59369,0.5168707,Cluster variance
State5,ES,10104_41773,10104_41773,41773,1,1,0.5168707,0.51687,NA,NA,0.5168707,0.5936342,0.59369,0.5936342,0.59369,0.5168707,Cluster variance
State8,ES,10104_41773,10104_41773,23535,1,NA,0.5168707,0.51687,NA,NA,0.5168707,NA,NA,NA,NA,0.5168707,Cluster variance
State1,ES,10104_41774,10104_41774,5166,1,NA,0.2778142,0.27781,0.29754,NA,0.2778142,NA,NA,NA,NA,0.2778142,Cluster variance
State_6_and_7,ES,10104_41774,10104_41774,137,1,1,0.2778142,0.27781,NA,NA,0.2778142,0.2708606,0.27101,0.2708606,0.27101,0.2778142,Cluster variance
State5,ES,10104_41774,10104_41774,41774,1,1,0.2778142,0.27781,NA,NA,0.2778142,0.2708606,0.27101,0.2708606,0.27101,0.2778142,Cluster variance
State8,ES,10104_41774,10104_41774,23528,1,NA,0.2778142,0.27781,NA,NA,0.2778142,NA,NA,NA,NA,0.2778142,Cluster variance
State0,ES,10104_41775,10104_41775,17754,1,NA,0.8469747,0.84697,NA,NA,0.8469747,NA,NA,NA,NA,0.8469747,Cluster variance
State1,ES,10104_41775,10104_41775,5170,1,NA,0.8469747,0.84697,0.82317,NA,0.8469747,NA,NA,NA,NA,0.8469747,Cluster variance
State_6_and_7,ES,10104_41775,10104_41775,380,1,NA,0.8469747,0.84697,NA,NA,0.8469747,NA,NA,NA,NA,0.8469747,Cluster variance
State5,ES,10104_41775,10104_41775,41775,1,1,0.8469747,0.84697,NA,NA,0.8469747,1.105751,1.1061,1.105751,1.1061,0.8469747,Cluster variance
State8,ES,10104_41775,10104_41775,23542,1,NA,0.8469747,0.84697,NA,NA,0.8469747,NA,NA,NA,NA,0.8469747,Cluster variance
State0,ES,10104_41776,10104_41776,17758,1,NA,0.1386608,0.13866,NA,NA,0.1386608,NA,NA,NA,NA,0.1386608,Cluster variance
State1,ES,10104_41776,10104_41776,4389,1,1,0.1386608,0.13866,0.1419,NA,0.1386608,0.1777297,0.17771,0.1777297,0.17771,0.1386608,Cluster variance
State_6_and_7,ES,10104_41776,10104_41776,138,1,1,0.1386608,0.13866,NA,NA,0.1386608,0.1777297,0.17771,0.1777297,0.17771,0.1386608,Cluster variance
State5,ES,10104_41776,10104_41776,41776,1,1,0.1386608,0.13866,NA,NA,0.1386608,0.1777297,0.17771,0.1777297,0.17771,0.1386608,Cluster variance
State8,ES,10104_41776,10104_41776,23543,1,NA,0.1386608,0.13866,NA,NA,0.1386608,NA,NA,NA,NA,0.1386608,Cluster variance
State1,ES,10104_41777,10104_41777,4363,NA,1,NA,NA,NA,NA,NA,0.6622116,0.66307,0.6622116,0.66307,NA,Cluster variance
State_6_and_7,ES,10104_41777,10104_41777,391,1,NA,0.5274748,0.52747,NA,NA,0.5274748,NA,NA,NA,NA,0.5274748,Cluster variance
State5,ES,10104_41777,10104_41777,41777,1,1,0.5274748,0.52747,NA,NA,0.5274748,0.6622116,0.66307,0.6622116,0.66307,0.5274748,Cluster variance
State8,ES,10104_41777,10104_41777,23532,1,NA,0.5274748,0.52747,NA,NA,0.5274748,NA,NA,NA,NA,0.5274748,Cluster variance
State1,ES,10104_41778,10104_41778,4352,1,1,0.4480288,0.44803,0.49683,NA,0.4480288,0.4536068,0.4539,0.4536068,0.4539,0.4480288,Cluster variance
State5,ES,10104_41778,10104_41778,41778,1,1,0.4480288,0.44803,NA,NA,0.4480288,0.4536068,0.4539,0.4536068,0.4539,0.4480288,Cluster variance
State8,ES,10104_41778,10104_41778,23525,1,NA,0.4480288,0.44803,NA,NA,0.4480288,NA,NA,NA,NA,0.4480288,Cluster variance
State1,ES,10104_41779,10104_41779,4371,1,1,0.2682846,0.26828,0.22922,NA,0.2682846,0.0899124,0.090201,0.0899124,0.090201,0.2682846,Cluster variance
State5,ES,10104_41779,10104_41779,41779,1,1,0.2682846,0.26828,NA,NA,0.2682846,0.0899124,0.090201,0.0899124,0.090201,0.2682846,Cluster variance
State8,ES,10104_41779,10104_41779,23536,1,NA,0.2682846,0.26828,NA,NA,0.2682846,NA,NA,NA,NA,0.2682846,Cluster variance
State0,ES,10104_41850,10104_41850,17774,1,NA,0.5602205,0.56022,NA,NA,0.5602205,NA,NA,NA,NA,0.5602205,Cluster variance
State1,ES,10104_41850,10104_41850,5167,1,NA,0.5602205,0.56022,0.52865,NA,0.5602205,NA,NA,NA,NA,0.5602205,Cluster variance
State_6_and_7,ES,10104_41850,10104_41850,147,1,1,0.5602205,0.56022,NA,NA,0.5602205,0.7479697,0.74778,0.7479697,0.74778,0.5602205,Cluster variance
State5,ES,10104_41850,10104_41850,41850,1,1,0.5602205,0.56022,NA,NA,0.5602205,0.7479697,0.74778,0.7479697,0.74778,0.5602205,Cluster variance
State1,ES,10104_41897,10104_41897,5101,1,NA,0.0006525,0.00065278,NA,NA,0.000652492,NA,NA,NA,NA,0.0006525,Cluster variance
State_6_and_7,ES,10104_41897,10104_41897,493,1,NA,0.0006525,0.00065278,NA,NA,0.000652492,NA,NA,NA,NA,0.0006525,Cluster variance
State5,ES,10104_41897,10104_41897,41897,1,NA,0.0006525,0.00065278,NA,NA,0.000652492,NA,NA,NA,NA,0.0006525,Cluster variance
State1,ES,10222_21394,10222_21394,3831,NA,1,NA,NA,NA,NA,NA,1.1110986,1.1111,1.1110986,1.1111,NA,Cluster variance
State8,ES,10222_21394,10222_21394,21394,NA,1,NA,NA,NA,NA,NA,1.1110986,1.1111,1.1110986,1.1111,NA,Cluster variance
State1,ES,10222_21437,10222_21437,3846,NA,1,NA,NA,NA,NA,NA,0.1659849,0.16598,0.1659849,0.16598,NA,Cluster variance
State_6_and_7,ES,10222_21437,10222_21437,195,NA,1,NA,NA,NA,NA,NA,0.1659849,0.16598,0.1659849,0.16598,NA,Cluster variance
State8,ES,10222_21437,10222_21437,21437,NA,1,NA,NA,NA,NA,NA,0.1659849,0.16598,0.1659849,0.16598,NA,Cluster variance
State1,ES,10222_21614,10222_21614,3818,1,1,0.6911294,0.69113,0.62752,NA,0.6911294,1.3051586,1.3053,1.3051586,1.3053,0.6911294,Cluster variance
State_6_and_7,ES,10222_21614,10222_21614,196,1,1,0.6911294,0.69113,NA,NA,0.6911294,1.3051586,1.3053,1.3051586,1.3053,0.6911294,Cluster variance
State8,ES,10222_21614,10222_21614,21614,NA,1,NA,NA,NA,NA,NA,1.3051586,1.3053,1.3051586,1.3053,NA,Cluster variance
State1,ES,10222_21630,10222_21630,4581,1,1,0.7994894,0.79949,0.87271,NA,0.7994894,0.8967203,0.89677,0.8967203,0.89677,0.7994894,Cluster variance
State_6_and_7,ES,10222_21630,10222_21630,197,1,1,0.7994894,0.79949,NA,NA,0.7994894,0.8967203,0.89677,0.8967203,0.89677,0.7994894,Cluster variance
State8,ES,10222_21630,10222_21630,21630,NA,1,NA,NA,NA,NA,NA,0.8967203,0.89677,0.8967203,0.89677,NA,Cluster variance
State1,ES,10222_21631,10222_21631,3828,1,1,0.4092307,0.40923,0.41536,NA,0.4092307,0.3313661,0.33137,0.3313661,0.33137,0.4092307,Cluster variance
State8,ES,10222_21631,10222_21631,21631,1,1,0.4092307,0.40923,NA,NA,0.4092307,0.3313661,0.33137,0.3313661,0.33137,0.4092307,Cluster variance
State1,ES,10222_21909,10222_21909,3770,1,1,1.2470866,1.2471,1.2474,NA,1.2470866,1.1934711,1.1935,1.1934711,1.1935,1.2470866,Cluster variance
State8,ES,10222_21909,10222_21909,21909,NA,1,NA,NA,NA,NA,NA,1.1934711,1.1935,1.1934711,1.1935,NA,Cluster variance
State1,ES,10222_21921,10222_21921,3825,1,1,1.3705004,1.3705,1.3945,NA,1.3705004,1.2577909,1.2578,1.2577909,1.2578,1.3705004,Cluster variance
State8,ES,10222_21921,10222_21921,21921,1,1,1.3705004,1.3705,NA,NA,1.3705004,1.2577909,1.2578,1.2577909,1.2578,1.3705004,Cluster variance
State1,ES,10222_21922,10222_21922,3827,1,1,1.1454964,1.1455,1.164,NA,1.1454964,1.1992006,1.1992,1.1992006,1.1992,1.1454964,Cluster variance
State8,ES,10222_21922,10222_21922,21922,1,1,1.1454964,1.1455,NA,NA,1.1454964,1.1992006,1.1992,1.1992006,1.1992,1.1454964,Cluster variance
State8,ES,10222_21975,10222_21975,21975,NA,1,NA,NA,NA,NA,NA,0.5021305,0.50214,0.5021305,0.50214,NA,Cluster variance
State1,ES,10222_22322,10222_22322,5274,1,NA,0.6880184,0.68802,NA,NA,0.688018444,NA,NA,NA,NA,0.6880184,Cluster variance
State_6_and_7,ES,10222_22322,10222_22322,569,1,NA,0.6880184,0.68802,NA,NA,0.688018444,NA,NA,NA,NA,0.6880184,Cluster variance
State8,ES,10222_22322,10222_22322,22322,1,NA,0.6880184,0.68802,NA,NA,0.688018444,NA,NA,NA,NA,0.6880184,Cluster variance
State_6_and_7,ES,10222_22324,10222_22324,568,1,NA,0.3672073,0.36721,NA,NA,0.367207334,NA,NA,NA,NA,0.3672073,Cluster variance
State8,ES,10222_22324,10222_22324,22324,1,NA,0.3672073,0.36721,NA,NA,0.367207334,NA,NA,NA,NA,0.3672073,Cluster variance
State1,ES,20200_10,20200_10,4088,1,1,1.0438019,1.0438,1.2784,NA,1.0438019,1.1013088,1.1014,1.1013088,1.1014,1.0438019,Cluster variance
State2,ES,20200_10,20200_10,10,NA,1,NA,NA,NA,NA,NA,1.1013088,1.1014,1.1013088,1.1014,NA,Cluster variance
State8,ES,20200_10,20200_10,23563,1,NA,1.0438019,1.0438,NA,NA,1.0438019,NA,NA,NA,NA,1.0438019,Cluster variance
State1,ES,20200_133,20200_133,5158,1,NA,5.0358099,5.0358,5,NA,5.0358099,NA,NA,NA,NA,5.0358099,Cluster variance
State2,ES,20200_133,20200_133,133,NA,1,NA,NA,NA,NA,NA,3.7344864,5,3.7344864,5,NA,Cluster variance
State8,ES,20200_133,20200_133,23568,1,NA,5.0358099,5.0358,NA,NA,5.0358099,NA,NA,NA,NA,5.0358099,Cluster variance
State1,ES,20200_139,20200_139,5156,1,NA,2.662938,2.6629,2.6564,NA,2.662938,NA,NA,NA,NA,2.662938,Cluster variance
State2,ES,20200_139,20200_139,139,NA,1,NA,NA,NA,NA,NA,1.98423,2.0092,1.98423,2.0092,NA,Cluster variance
State2,ES,20200_140,20200_140,140,1,NA,0.3847176,0.38472,NA,NA,0.384717552,NA,NA,NA,NA,0.3847176,Cluster variance
State5,ES,20200_140,20200_140,42099,1,NA,0.3847176,0.38472,NA,NA,0.384717552,NA,NA,NA,NA,0.3847176,Cluster variance
State1,ES,20200_144,20200_144,5154,1,NA,0.7196996,0.7197,0.73581,NA,0.7196996,NA,NA,NA,NA,0.7196996,Cluster variance
State2,ES,20200_144,20200_144,144,NA,1,NA,NA,NA,NA,NA,0.3801003,0.38463,0.3801003,0.38463,NA,Cluster variance
State8,ES,20200_144,20200_144,23562,1,NA,0.7196996,0.7197,NA,NA,0.7196996,NA,NA,NA,NA,0.7196996,Cluster variance
State2,ES,20200_1869,20200_1869,1869,1,NA,1.8176969,1.8177,NA,NA,1.817696898,NA,NA,NA,NA,1.8176969,Cluster variance
State_6_and_7,ES,20200_1869,20200_1869,532,1,NA,1.8176969,1.8177,NA,NA,1.817696898,NA,NA,NA,NA,1.8176969,Cluster variance
State5,ES,20200_1869,20200_1869,42092,1,NA,1.8176969,1.8177,NA,NA,1.817696898,NA,NA,NA,NA,1.8176969,Cluster variance
State1,ES,20200_1871,20200_1871,5123,1,NA,0.4833605,0.48336,NA,NA,0.483360522,NA,NA,NA,NA,0.4833605,Cluster variance
State2,ES,20200_1871,20200_1871,1871,1,NA,0.4833605,0.48336,NA,NA,0.483360522,NA,NA,NA,NA,0.4833605,Cluster variance
State2,ES,20200_1879,20200_1879,1879,1,NA,0.2907166,0.29072,NA,NA,0.290716589,NA,NA,NA,NA,0.2907166,Cluster variance
State_6_and_7,ES,20200_1879,20200_1879,529,1,NA,0.2907166,0.29072,NA,NA,0.290716589,NA,NA,NA,NA,0.2907166,Cluster variance
State5,ES,20200_1879,20200_1879,42087,1,NA,0.2907166,0.29072,NA,NA,0.290716589,NA,NA,NA,NA,0.2907166,Cluster variance
State2,ES,20200_1924,20200_1924,1924,1,NA,0.6302766,0.63028,NA,NA,0.630276594,NA,NA,NA,NA,NA,Cluster variance
State_6_and_7,ES,20200_1924,20200_1924,528,1,NA,0.6302766,0.63028,NA,NA,0.630276594,NA,NA,NA,NA,NA,Cluster variance
State5,ES,20200_1924,20200_1924,42093,1,NA,0.6302766,0.63028,NA,NA,0.630276594,NA,NA,NA,NA,NA,Cluster variance
State2,ES,20200_1931,20200_1931,1931,1,NA,0.6903982,0.6904,NA,NA,0.690398178,NA,NA,NA,NA,0.6903982,Cluster variance
State_6_and_7,ES,20200_1931,20200_1931,537,1,NA,0.6903982,0.6904,NA,NA,0.690398178,NA,NA,NA,NA,0.6903982,Cluster variance
