statistics,f_21_001,f_21_0001,f_21_00001,f_21_001_startvalue,f_21_0001_startvalue,f_21_00001_startvalue,f_49_001,f_49_0001,f_49_00001,f_49_001_startvalue,f_49_0001_startvalue,f_49_00001_startvalue,c_21_001,c_21_0001,c_21_00001,c_49_001,c_49_0001,c_49_00001,m_21_001,m_21_0001,m_21_00001,m_49_001,m_49_0001,m_49_00001
242_2932,0.4866492,0.4639112,0.4639112,0.4326224,0.4327226,0.4327324,0.48717,0.4325307,0.432846,0.4329214,0.4329679,0.4329561,0.432653148,0.432723185,0.432729481,0.432912335,0.433013936,0.433019435,0.43262,0.43272,0.43273,0.43292,0.43301,0.43302
10222_21909,1.2260761,1.2341461,1.2341461,1.2420013,1.2421073,1.2421072,1.2258616,1.24113,1.241678,1.2417725,1.2417932,1.2417774,1.242040999,1.24208246,1.242086149,1.241936097,1.242050853,1.242056239,1.242,1.2421,1.2421,1.2419,1.2421,1.2421
233_3881,0.3218666,0.2944118,0.2944118,0.2342499,0.2342459,0.2342557,0.3223271,0.238249,0.234459,0.2342543,0.2343016,0.2343769,0.234326868,0.234330306,0.234332487,0.234180225,0.234150996,0.234152463,0.23434,0.23433,0.23433,0.23418,0.23415,0.23415
233_3892,1.1541357,1.1590048,1.1590048,1.1668549,1.1671082,1.1671998,1.1540297,1.1654358,1.166417,1.1668104,1.166705,1.1666445,1.166911169,1.167134921,1.167152941,1.167022519,1.167355372,1.167375303,1.1668,1.1671,1.1672,1.1671,1.1674,1.1674
233_3957,0.3368293,0.3070764,0.3070764,0.2390758,0.2390909,0.2390989,0.3375545,0.2443358,0.239526,0.2394591,0.2395094,0.2395335,0.239160445,0.239156906,0.239156302,0.239427638,0.239470532,0.239472871,0.23915,0.23916,0.23916,0.23943,0.23947,0.23947
233_3992,1.5758202,1.5891169,1.5891169,1.6019483,1.601829,1.6017476,1.5743664,1.5974033,1.598291,1.5992306,1.5988113,1.5986573,1.60211401,1.601860389,1.601834378,1.602169844,1.602047831,1.602024285,1.6021,1.6019,1.6018,1.6022,1.602,1.602
233_4000,0.7355252,0.7210339,0.7210339,0.7050556,0.7051988,0.7052078,0.735614,0.7044999,0.705051,0.7048975,0.7050312,0.7050837,0.705093791,0.705191758,0.705201544,0.70472205,0.704848943,0.704856005,0.70505,0.70519,0.7052,0.70474,0.70485,0.70486
10104_41778,0.5207581,0.507598,0.507598,0.4985813,0.4986276,0.4986265,0.5207436,0.4971075,0.498004,0.4980783,0.4981264,0.4981311,0.498572105,0.498618667,0.498623525,0.498010445,0.498058667,0.498063197,0.49857,0.49862,0.49862,0.49801,0.49806,0.49806
10104_41770,0.3207004,0.2914251,0.2914251,0.2221942,0.2222267,0.2222546,0.3211248,0.2278004,0.221985,0.2219322,0.2219466,0.2219534,0.222363009,0.222384778,0.222386084,0.221931391,0.221942242,0.221941553,0.22236,0.22238,0.22239,0.22193,0.22194,0.22194
242_2203,0.8454191,0.8452325,0.8452325,0.8490592,0.8492066,0.8492156,0.8448294,0.8475732,0.848364,0.848436,0.8484972,0.8485055,0.849109869,0.849201976,0.849209048,0.848298318,0.848492785,0.848502559,0.84905,0.8492,0.84921,0.84832,0.84849,0.8485
242_2987,0.3283711,0.3073128,0.3073128,0.2752976,0.2753497,0.275361,0.3284919,0.2745801,0.274468,0.2746571,0.2746361,0.2745902,0.275329289,0.27536288,0.275365804,0.274710182,0.274747346,0.274748242,0.27531,0.27536,0.27537,0.27472,0.27475,0.27475
242_2448,0.3111003,0.2766085,0.2766085,0.1701737,0.1700913,0.1702597,0.3116675,0.1901356,0.171844,0.1713823,0.1712879,0.1713386,0.171734112,0.171587357,0.171575502,0.171361121,0.171186122,0.171176319,0.17178,0.17159,0.17158,0.17135,0.17119,0.17118
242_3100,0.5565445,0.5286971,0.5286971,0.4795024,0.479544,0.4795436,0.557253,0.4811694,0.480339,0.4798622,0.4800177,0.4801492,0.47951285,0.47954103,0.479543118,0.479617153,0.479643824,0.479644151,0.4795,0.47954,0.47954,0.47962,0.47964,0.47964
242_2854,0.6917887,0.6828734,0.6828734,0.6792699,0.6794126,0.6794228,0.6919634,0.6779194,0.678732,0.6790891,0.6790159,0.6789425,0.679314625,0.679410553,0.679419039,0.679390606,0.679541774,0.679550009,0.67927,0.67941,0.67942,0.67941,0.67954,0.67955
242_2917,0.4310087,0.4122691,0.4122691,0.3900821,0.3901134,0.3901132,0.4313977,0.3896589,0.389792,0.389882,0.3898822,0.389867,0.390087898,0.39011158,0.390114518,0.389912221,0.389942329,0.38994462,0.39008,0.39011,0.39011,0.38992,0.38994,0.38994
233_3995,0.7204911,0.7084285,0.7084285,0.6986138,0.6986892,0.6986889,0.7206595,0.6977936,0.698457,0.6984994,0.6985784,0.6985943,0.698640309,0.698678507,0.698682418,0.69842487,0.698490131,0.69849297,0.69861,0.69868,0.69868,0.69843,0.69849,0.69849
20200_74,1.0003879,1.0026864,1.0026864,1.0088601,1.008997,1.009002,0.9996727,1.0065685,1.007256,1.0075408,1.0074479,1.0074068,1.008975583,1.00900863,1.009009338,1.008224364,1.008355191,1.00835523,1.0089,1.009,1.009,1.0082,1.0084,1.0084
242_3004,0.2917817,0.2689674,0.2689674,0.226715,0.2267153,0.2267298,0.2923777,0.2288406,0.227471,0.2271376,0.2272216,0.227314,0.226849093,0.226837017,0.226835268,0.226998307,0.226993004,0.226991179,0.22685,0.22684,0.22684,0.227,0.22699,0.22699
242_2286,0.7520197,0.7489008,0.7489008,0.7486216,0.7487234,0.7487325,0.7518134,0.7483819,0.748541,0.7485048,0.7485498,0.7485467,0.748636699,0.748719377,0.748726517,0.748345002,0.748465512,0.748473311,0.74861,0.74872,0.74873,0.74836,0.74847,0.74847
20200_10,1.0019461,1.0039692,1.0039692,1.0082155,1.0084002,1.0084964,1.0020605,1.0078999,1.008113,1.0083013,1.0082281,1.0081338,1.008272661,1.008452229,1.008466261,1.008388044,1.008630924,1.00864432,1.0082,1.0084,1.0085,1.0084,1.0086,1.0086
242_2054,0.2845082,0.2563201,0.2563201,0.1916537,0.1916698,0.1917391,0.2848208,0.1971631,0.19181,0.1916544,0.1916778,0.1917298,0.19227079,0.192257807,0.192257808,0.19161419,0.191579281,0.191578895,0.19229,0.19226,0.19226,0.19161,0.19158,0.19158
100180_24,0.6045161,0.5882382,0.5882382,0.5724,0.5724926,0.5724928,0.6049627,0.5720385,0.572592,0.572722,0.5727186,0.572687,0.57243513,0.572490599,0.572494939,0.572806758,0.5729093,0.57291317,0.5724,0.57249,0.57249,0.57282,0.57291,0.57291
10104_41777,0.5921034,0.5802692,0.5802692,0.5724375,0.5725272,0.5725364,0.5920795,0.5713273,0.571907,0.5720607,0.5720613,0.5720382,0.572452019,0.57252294,0.572530404,0.572152878,0.572231232,0.572236752,0.57243,0.57252,0.57253,0.57216,0.57223,0.57224
10104_41773,0.5580099,0.5345728,0.5345728,0.5022721,0.5023654,0.5023741,0.5583289,0.5019973,0.502124,0.5021347,0.5021618,0.502125,0.50226671,0.5023578,0.502366659,0.502084251,0.502177243,0.502185673,0.50226,0.50236,0.50237,0.50209,0.50218,0.50219
10104_41779,0.3140035,0.2898035,0.2898035,0.2449376,0.2449301,0.2449358,0.3145924,0.2469559,0.245318,0.2452027,0.2452188,0.2452481,0.244956493,0.244979289,0.244983176,0.245174561,0.245147074,0.245150666,0.24499,0.24498,0.24498,0.24517,0.24515,0.24515
